Date : 2025-01-25 15:21:19
Directory : /home/amir/Project/ntsw_demo
Total : 288 files,  67629 codes, 2402 comments, 8481 blanks, all 78512 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
+-------------+------------+------------+------------+------------+------------+
| CSS         |         45 |     42,736 |        516 |      3,094 |     46,346 |
| JavaScript  |        104 |     18,083 |      1,699 |      4,691 |     24,473 |
| Python      |         79 |      1,859 |        107 |        568 |      2,534 |
| Django HTML |         21 |      1,480 |          0 |         36 |      1,516 |
| Less        |         13 |      1,343 |         33 |         39 |      1,415 |
| SCSS        |         13 |      1,343 |         33 |         39 |      1,415 |
| XML         |          1 |        565 |          0 |          0 |        565 |
| JSON        |          8 |        167 |          0 |          1 |        168 |
| Batch       |          1 |         28 |         14 |         11 |         53 |
| Django txt  |          3 |         25 |          0 |          2 |         27 |
+-------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                      | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                         |        288 |     67,629 |      2,402 |      8,481 |     78,512 |
| . (Files)                                                                                                                 |          3 |         41 |          1 |          7 |         49 |
| config                                                                                                                    |          5 |        159 |         17 |         72 |        248 |
| dashboard                                                                                                                 |         14 |        104 |          3 |         42 |        149 |
| dashboard (Files)                                                                                                         |          7 |         51 |          1 |         26 |         78 |
| dashboard/migrations                                                                                                      |          2 |         18 |          1 |          8 |         27 |
| dashboard/templates                                                                                                       |          3 |         19 |          0 |          3 |         22 |
| dashboard/templates/dashboard                                                                                             |          3 |         19 |          0 |          3 |         22 |
| dashboard/templatetags                                                                                                    |          2 |         16 |          1 |          5 |         22 |
| extensions                                                                                                                |          2 |          5 |          0 |          4 |          9 |
| order_registration                                                                                                        |          7 |        328 |         20 |        113 |        461 |
| order_registration (Files)                                                                                                |          6 |        328 |         20 |        112 |        460 |
| order_registration/migrations                                                                                             |          1 |          0 |          0 |          1 |          1 |
| overseas_supplier                                                                                                         |         20 |        967 |         10 |        134 |      1,111 |
| overseas_supplier (Files)                                                                                                 |          8 |        272 |          2 |         75 |        349 |
| overseas_supplier/migrations                                                                                              |          9 |        280 |          8 |         50 |        338 |
| overseas_supplier/templates                                                                                               |          3 |        415 |          0 |          9 |        424 |
| overseas_supplier/templates/overseas_supplier                                                                             |          3 |        415 |          0 |          9 |        424 |
| overseas_supplier/templates/overseas_supplier (Files)                                                                     |          1 |        169 |          0 |          7 |        176 |
| overseas_supplier/templates/overseas_supplier/partials                                                                    |          2 |        246 |          0 |          2 |        248 |
| product_identifier                                                                                                        |          8 |        115 |          9 |         33 |        157 |
| product_identifier (Files)                                                                                                |          6 |         55 |          8 |         25 |         88 |
| product_identifier/migrations                                                                                             |          2 |         60 |          1 |          8 |         69 |
| sample                                                                                                                    |          6 |        108 |          0 |          0 |        108 |
| sample/product_identifier                                                                                                 |          6 |        108 |          0 |          0 |        108 |
| statics                                                                                                                   |        179 |     64,157 |      2,295 |      7,875 |     74,327 |
| statics (Files)                                                                                                           |          1 |          7 |          1 |          1 |          9 |
| statics/bootstrap-5.2.3                                                                                                   |         22 |     48,869 |      1,613 |      6,587 |     57,069 |
| statics/bootstrap-5.2.3/css                                                                                               |         16 |     36,682 |        138 |      2,699 |     39,519 |
| statics/bootstrap-5.2.3/js                                                                                                |          6 |     12,187 |      1,475 |      3,888 |     17,550 |
| statics/bootstrap-datepicker                                                                                              |         93 |      4,213 |        139 |        189 |      4,541 |
| statics/bootstrap-datepicker/css                                                                                          |          8 |      2,358 |         44 |          8 |      2,410 |
| statics/bootstrap-datepicker/js                                                                                           |          2 |      1,772 |         95 |        181 |      2,048 |
| statics/bootstrap-datepicker/locales                                                                                      |         83 |         83 |          0 |          0 |         83 |
| statics/css                                                                                                               |          3 |         81 |          0 |         17 |         98 |
| statics/js                                                                                                                |          2 |         32 |          2 |          5 |         39 |
| statics/persianDatepicker                                                                                                 |         48 |      7,297 |        338 |        393 |      8,028 |
| statics/persianDatepicker/css                                                                                             |         40 |      6,334 |        259 |        330 |      6,923 |
| statics/persianDatepicker/css (Files)                                                                                     |          9 |      1,231 |        181 |        250 |      1,662 |
| statics/persianDatepicker/css/fontawesome                                                                                 |         31 |      5,103 |         78 |         80 |      5,261 |
| statics/persianDatepicker/css/fontawesome (Files)                                                                         |          2 |         59 |          0 |          1 |         60 |
| statics/persianDatepicker/css/fontawesome/css                                                                             |          2 |      1,793 |         12 |          1 |      1,806 |
| statics/persianDatepicker/css/fontawesome/fonts                                                                           |          1 |        565 |          0 |          0 |        565 |
| statics/persianDatepicker/css/fontawesome/less                                                                            |         13 |      1,343 |         33 |         39 |      1,415 |
| statics/persianDatepicker/css/fontawesome/scss                                                                            |         13 |      1,343 |         33 |         39 |      1,415 |
| statics/persianDatepicker/js                                                                                              |          8 |        963 |         79 |         63 |      1,105 |
| statics/select-box-search-option                                                                                          |          2 |        121 |         23 |         28 |        172 |
| statics/select-box-search-option/css                                                                                      |          1 |          2 |          0 |          1 |          3 |
| statics/select-box-search-option/js                                                                                       |          1 |        119 |         23 |         27 |        169 |
| statics/selectize-master                                                                                                  |          8 |      3,537 |        179 |        655 |      4,371 |
| statics/selectize-master/css                                                                                              |          6 |        589 |        141 |        118 |        848 |
| statics/selectize-master/js                                                                                               |          2 |      2,948 |         38 |        537 |      3,523 |
| templates                                                                                                                 |          7 |        348 |          0 |          7 |        355 |
| templates (Files)                                                                                                         |          1 |         85 |          0 |          1 |         86 |
| templates/partials                                                                                                        |          6 |        263 |          0 |          6 |        269 |
| upload_qualifications                                                                                                     |         11 |        393 |          4 |         49 |        446 |
| upload_qualifications (Files)                                                                                             |          7 |         75 |          2 |         34 |        111 |
| upload_qualifications/migrations                                                                                          |          3 |         38 |          2 |         14 |         54 |
| upload_qualifications/templates                                                                                           |          1 |        280 |          0 |          1 |        281 |
| upload_qualifications/templates/upload_qualifications                                                                     |          1 |        280 |          0 |          1 |        281 |
| users                                                                                                                     |         26 |        904 |         43 |        145 |      1,092 |
| users (Files)                                                                                                             |          8 |        275 |         34 |         73 |        382 |
| users/migrations                                                                                                          |         10 |        210 |          9 |         56 |        275 |
| users/templates                                                                                                           |          8 |        419 |          0 |         16 |        435 |
| users/templates/users                                                                                                     |          8 |        419 |          0 |         16 |        435 |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
| filename                                                                                                                  | language    | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
| /home/amir/Project/ntsw_demo/config/__init__.py                                                                           | Python      |          0 |          0 |          1 |          1 |
| /home/amir/Project/ntsw_demo/config/asgi.py                                                                               | Python      |         10 |          0 |          7 |         17 |
| /home/amir/Project/ntsw_demo/config/settings.py                                                                           | Python      |         97 |         17 |         47 |        161 |
| /home/amir/Project/ntsw_demo/config/urls.py                                                                               | Python      |         42 |          0 |         10 |         52 |
| /home/amir/Project/ntsw_demo/config/wsgi.py                                                                               | Python      |         10 |          0 |          7 |         17 |
| /home/amir/Project/ntsw_demo/dashboard/__init__.py                                                                        | Python      |          0 |          0 |          1 |          1 |
| /home/amir/Project/ntsw_demo/dashboard/admin.py                                                                           | Python      |          5 |          0 |          3 |          8 |
| /home/amir/Project/ntsw_demo/dashboard/apps.py                                                                            | Python      |          5 |          0 |          3 |          8 |
| /home/amir/Project/ntsw_demo/dashboard/migrations/0001_initial.py                                                         | Python      |         18 |          1 |          7 |         26 |
| /home/amir/Project/ntsw_demo/dashboard/migrations/__init__.py                                                             | Python      |          0 |          0 |          1 |          1 |
| /home/amir/Project/ntsw_demo/dashboard/models.py                                                                          | Python      |          8 |          0 |          6 |         14 |
| /home/amir/Project/ntsw_demo/dashboard/templates/dashboard/base_role_index.html                                           | Django HTML |          9 |          0 |          1 |         10 |
| /home/amir/Project/ntsw_demo/dashboard/templates/dashboard/business_role_index.html                                       | Django HTML |          5 |          0 |          1 |          6 |
| /home/amir/Project/ntsw_demo/dashboard/templates/dashboard/trader_role_index.html                                         | Django HTML |          5 |          0 |          1 |          6 |
| /home/amir/Project/ntsw_demo/dashboard/templatetags/__int__.py                                                            | Python      |          0 |          0 |          1 |          1 |
| /home/amir/Project/ntsw_demo/dashboard/templatetags/date_filters.py                                                       | Python      |         16 |          1 |          4 |         21 |
| /home/amir/Project/ntsw_demo/dashboard/tests.py                                                                           | Python      |          1 |          1 |          2 |          4 |
| /home/amir/Project/ntsw_demo/dashboard/urls.py                                                                            | Python      |          9 |          0 |          4 |         13 |
| /home/amir/Project/ntsw_demo/dashboard/views.py                                                                           | Python      |         23 |          0 |          7 |         30 |
| /home/amir/Project/ntsw_demo/extensions/__init__.py                                                                       | Python      |          0 |          0 |          1 |          1 |
| /home/amir/Project/ntsw_demo/extensions/utils.py                                                                          | Python      |          5 |          0 |          3 |          8 |
| /home/amir/Project/ntsw_demo/manage.py                                                                                    | Python      |         17 |          1 |          5 |         23 |
| /home/amir/Project/ntsw_demo/order_registration/__init__.py                                                               | Python      |          0 |          0 |          1 |          1 |
| /home/amir/Project/ntsw_demo/order_registration/admin.py                                                                  | Python      |         63 |          3 |         35 |        101 |
| /home/amir/Project/ntsw_demo/order_registration/apps.py                                                                   | Python      |          5 |          0 |          3 |          8 |
